source_id,target_id,year
108363,107999,2010
2655590,96405,2014
2655590,104655,2014
2655590,110175,2014
2655590,110289,2014
2655590,112826,2014
2655590,145752,2014
100753,87886,2010
100753,97576,2010
100753,98436,2010
101841,94680,2010
101841,100139,2010
102294,86717,2010
102294,92702,2010
102294,97782,2010
102294,100495,2010
102294,100791,2010
107079,104842,2010
107079,106890,2010
107079,106977,2010
102781,102387,2010
105044,92810,2010
105044,96869,2010
105044,100929,2010
105044,103542,2010
94706,91573,2010
103893,99159,2010
103893,100704,2010
103893,101010,2010
109964,89476,2010
109964,103647,2010
109964,103846,2010
109964,106385,2010
93539,88135,2010
93539,91178,2010
100246,93283,2010
100246,96805,2010
100246,100181,2010
93493,89378,2010
93493,91924,2010
93493,93431,2010
105414,105320,2010
111007,109972,2010
111007,110293,2010
111007,110787,2010
99564,96202,2010
108226,94602,2010
108226,105511,2010
101904,97192,2010
103939,89505,2010
103939,100231,2010
103939,101764,2010
103939,102975,2010
96691,96110,2010
104655,104316,2010
103190,100010,2010
103190,100343,2010
103190,100482,2010
103190,100991,2010
95117,88363,2010
95117,89163,2010
109067,91705,2010
109067,108969,2010
99837,90051,2010
99837,90948,2010
112781,103831,2010
112781,107701,2010
112781,108334,2010
112781,111226,2010
2620886,84788,2013
2620886,101440,2013
2620886,104272,2013
2620886,104897,2013
2620886,108375,2013
2620886,109266,2013
2620886,109524,2013
2620886,109621,2013
2620886,111617,2013
2620886,112627,2013
2620886,118093,2013
101457,93539,2010
106392,92076,2010
106392,103017,2010
118226,98548,2010
118226,107937,2010
118226,108067,2010
118226,109924,2010
118226,110362,2010
118226,111912,2010
118226,112719,2010
104205,101590,2010
104205,103304,2010
104205,103431,2010
104205,103979,2010
89564,87756,2010
89564,88178,2010
98375,97274,2010
109437,101251,2010
109437,105681,2010
109437,108768,2010
92778,89266,2010
91787,90421,2010
91787,90476,2010
96042,92076,2010
94585,88163,2010
94585,89991,2010
93240,90590,2010
112851,110159,2010
112851,111010,2010
105697,96594,2010
105697,105402,2010
105697,105479,2010
111284,110933,2010
97653,87736,2010
106111,106081,2010
96941,92918,2010
96941,94643,2010
96941,96234,2010
145820,88791,2010
97203,92685,2010
97203,96853,2010
92001,91089,2010
102851,92867,2010
102851,102294,2010
102851,102373,2010
104086,103915,2010
103743,100084,2010
103256,102888,2010
103256,102902,2010
103256,1218943,2010
104593,103962,2010
92514,90801,2010
110180,103201,2010
110180,109246,2010
110180,109621,2010
112447,112329,2010
100883,99682,2010
106054,105336,2010
106054,106014,2010
94839,87668,2010
94839,92332,2010
94839,92781,2010
104069,101119,2010
104069,101769,2010
104069,101801,2010
95681,93112,2010
100929,94793,2010
100929,97193,2010
100929,98267,2010
100929,99948,2010
94993,94531,2010
98549,89660,2010
